Shortest distance over all runs
522.864633352661

K-value,Crossover Rate,Mutation Rate,Elite Size,Population Size,Generations
4,0.9,0.3,15,75,1000

Run 1 Seed,Run 2 Seed,Run 3 Seed,Run 4 Seed,Run 5 Seed
run1,run2,run3,run4,run5

,Run 1 Best Overall Distance, Run 1 Best Overall Path,Run 2 Best Overall Distance, Run 2 Best Overall Path,Run 3 Best Overall Distance, Run 3 Best Overall Path,Run 4 Best Overall Distance, Run 4 Best Overall Path,Run 5 Best Overall Distance, Run 5 Best Overall Path
,575.9691223535254,34 30 10 39 33 45 44 15 37 17 42 19 40 41 47 51 46 1 31 28 20 21 16 50 9 38 5 12 14 25 13 4 18 24 43 6 27 2 29 35 36 3 22 48 23 7 26 8 32 11 49 34 ,606.4529966789539,10 39 33 45 15 44 37 12 46 27 1 16 50 34 30 20 38 11 32 51 47 17 42 19 40 41 13 4 18 6 2 29 21 9 5 14 25 24 23 48 3 36 35 49 22 8 7 43 26 31 28 10 ,638.8255694109185,35 29 9 49 10 39 33 42 40 41 13 25 14 6 2 20 22 8 43 24 18 4 19 17 27 32 11 5 38 30 34 50 46 51 12 47 37 44 15 45 21 16 1 48 23 7 26 31 28 3 36 35 ,522.864633352661,7 43 24 14 25 18 47 4 17 45 15 37 33 39 10 21 29 2 1 11 5 44 42 19 40 41 13 12 16 50 34 30 9 49 38 46 51 27 48 8 26 31 28 3 36 35 20 22 32 6 23 7 ,588.3336974768768,29 21 16 38 5 37 15 44 17 12 46 51 27 1 22 8 7 26 31 28 50 36 35 20 4 41 19 40 13 25 24 43 14 42 45 33 39 10 9 3 34 30 49 47 18 6 23 48 32 11 2 29 

Generation,Run 1 Best Fitness,Run 1 Average Fitness,Run 2 Best Fitness,Run 2 Average Fitness,Run 3 Best Fitness,Run 3 Average Fitness,Run 4 Best Fitness,Run 4 Average Fitness,Run 5 Best Fitness,Run 5 Average Fitness
0,1419.6919834191244,1610.2624748136006,1419.6919834191244,1606.8005258493833,1419.6919834191244,1625.745701940973,1383.2973499012678,1594.434900362778,1370.8661793383617,1614.3954491273623,
1,1419.6919834191244,1608.8615273412759,1372.7250138390725,1556.394811757387,1419.6919834191244,1602.6456004698755,1370.8661793383617,1573.2298889824256,1303.8876608015466,1574.904202519983,
2,1371.5303702219333,1580.6254302083216,1364.1454632576088,1534.9114300069523,1304.476745728238,1568.92495154431,1370.8661793383617,1577.6698753889893,1303.8876608015466,1565.3513513556325,
3,1371.5303702219333,1555.5697091505122,1326.3653217503067,1525.2777898260024,1304.476745728238,1551.0760986345017,1294.5713683391753,1575.8396224447322,1303.8876608015466,1544.9048293634578,
4,1330.4206882770798,1558.0865616181932,1326.3653217503067,1530.1600451929262,1304.476745728238,1537.52621371236,1294.5713683391753,1550.48471830321,1303.8876608015466,1517.7651407295184,
5,1330.4206882770798,1554.4870543062657,1284.8682328032908,1518.6264529471327,1304.476745728238,1529.4341942085841,1294.5713683391753,1516.3726107693587,1303.8876608015466,1526.5079774326593,
6,1330.4206882770798,1537.395726978217,1284.8682328032908,1494.4967632396683,1304.476745728238,1520.0132176681009,1294.5713683391753,1507.4747656179316,1303.8876608015466,1520.0669773775737,
7,1304.2456574292448,1510.8364400588327,1284.8682328032908,1486.102037160461,1304.476745728238,1496.3658527974233,1294.5713683391753,1500.82233389149,1303.8876608015466,1535.7744898587891,
8,1304.2456574292448,1500.26821283946,1281.9468220758022,1468.6211910807885,1292.0683141127972,1465.417834903693,1294.5713683391753,1506.3130062422604,1303.8876608015466,1522.4149044647704,
9,1304.2456574292448,1498.7353048615257,1281.9468220758022,1487.9764860409202,1271.6593355554714,1495.171310485437,1294.5713683391753,1478.953316427188,1303.8876608015466,1523.2016238705232,
