Shortest distance over all runs
77.46533698061674

K-value,Crossover Rate,Mutation Rate,Elite Size,Population Size,Generations
4,0.9,0.3,15,75,1000

Run 1 Seed,Run 2 Seed,Run 3 Seed,Run 4 Seed,Run 5 Seed
run1,run2,run3,run4,run5

,Run 1 Best Overall Distance, Run 1 Best Overall Path,Run 2 Best Overall Distance, Run 2 Best Overall Path,Run 3 Best Overall Distance, Run 3 Best Overall Path,Run 4 Best Overall Distance, Run 4 Best Overall Path,Run 5 Best Overall Distance, Run 5 Best Overall Path
,79.51447218153704,15 14 8 18 4 17 11 3 22 1 16 21 20 7 6 13 12 19 10 9 2 5 15 ,87.96901979058524,7 8 22 18 4 17 2 3 21 20 19 10 16 1 12 13 14 15 5 11 9 6 7 ,77.46533698061674,5 15 4 1 22 3 2 17 16 18 8 14 13 12 21 20 19 10 7 6 9 11 5 ,82.08525063274537,1 16 12 8 22 3 2 17 4 18 5 11 9 6 15 14 13 7 10 19 20 21 1 ,91.16372680759144,19 10 20 21 22 3 2 17 11 18 5 4 9 7 6 15 14 8 1 16 13 12 19 

Generation,Run 1 Best Fitness,Run 1 Average Fitness,Run 2 Best Fitness,Run 2 Average Fitness,Run 3 Best Fitness,Run 3 Average Fitness,Run 4 Best Fitness,Run 4 Average Fitness,Run 5 Best Fitness,Run 5 Average Fitness
0,132.01747787544457,172.8857688532801,131.0996343163619,171.83522570817237,131.0996343163619,175.66595917364245,131.0996343163619,169.69363525611442,131.0996343163619,169.10590873825157,
1,132.01747787544457,169.03874457137172,131.0996343163619,169.21940048804427,131.0996343163619,167.28652338198646,131.0996343163619,167.13287970551542,131.0996343163619,167.80023417610423,
2,131.19203820772614,161.99069280151886,130.23134168392238,163.9127188165415,129.6484308871746,164.65445946821367,114.99534432002379,165.27317368417823,131.0996343163619,162.51631966842177,
3,127.53651409759395,160.35499473256561,125.47623854930256,160.87006384943834,129.6484308871746,164.07609237834887,114.99534432002379,167.8261752956215,129.15308864022913,163.75727063409886,
4,127.53651409759395,165.01460570041525,114.93848892972647,161.5509282130989,119.26724143706525,161.8393166917186,114.99534432002379,160.45125798030452,125.6335813492535,163.4705130778478,
5,127.53651409759395,162.27501951380708,114.93848892972647,160.60800698035396,126.69584755831588,161.8417088745261,114.99534432002379,159.61228595812966,125.6335813492535,162.45284230381148,
6,127.53651409759395,158.99928821804906,114.93848892972647,157.86632458756114,126.69584755831588,158.55137956602192,114.99534432002379,159.39164453749876,125.6335813492535,158.11240453509237,
7,127.53651409759395,164.47598405393595,114.93848892972647,157.62810611933946,121.42932747296457,155.3146818294958,114.99534432002379,154.37342344088876,124.46040879070014,153.06836921279879,
8,127.53651409759395,160.89211477058933,114.93848892972647,154.16495175722974,121.42932747296457,157.81983995176236,114.99534432002379,156.04578806500857,122.45325995564453,147.55443922447597,
9,127.53651409759395,154.1584874742301,114.93848892972647,155.2830133757803,121.42932747296457,156.65578423129745,114.99534432002379,155.3385494475888,122.45325995564453,143.47583275340187,
10,127.10719488716573,154.25330045804066,114.93848892972647,153.73668456307158,121.42932747296457,159.01286410603896,112.94517285095584,150.16894745977996,122.45325995564453,139.3410564363402,
11,127.10719488716573,154.02754480113236,114.93848892972647,157.4191646418568,112.94890371257239,149.63121149846498,112.94517285095584,153.56316543821615,120.815238756761,140.74975864119546,
12,127.10719488716573,152.4207390826775,114.93848892972647,156.32727279084781,112.94890371257239,150.16858653882883,112.94517285095584,147.09654272686328,120.815238756761,139.23033482124438,
13,127.10719488716573,151.24630349672736,114.93848892972647,154.43255170496727,112.94890371257239,151.26259397180868,112.94517285095584,145.35595082177235,120.55131292525826,139.3726013196831,
14,127.10719488716573,154.64906102326646,114.93848892972647,153.54538376605655,112.94890371257239,156.03408084146687,112.94517285095584,143.99864931944052,120.55131292525826,139.0705759718571,
15,127.10719488716573,148.77310661695603,114.93848892972647,147.84029137895837,112.94890371257239,157.86399944966968,112.94517285095584,144.4625186479225,120.55131292525826,138.8698225076659,
16,127.10719488716573,148.4186779937528,114.93848892972647,144.12077454449232,112.94890371257239,156.50435482688755,112.94517285095584,143.41061278974954,120.55131292525826,141.47899681701338,
17,123.94126828625679,146.59266891986692,108.82953552014726,138.47985344246555,112.94890371257239,147.6081378412301,112.94517285095584,141.42895052633594,117.522811982588,139.54490250884407,
