Shortest distance over all runs
85.12624206061739

K-value,Crossover Rate,Mutation Rate,Elite Size,Population Size,Generations
3,0.9,0,5,75,1000

Run 1 Seed,Run 2 Seed,Run 3 Seed,Run 4 Seed,Run 5 Seed
run1,run2,run3,run4,run5

,Run 1 Best Overall Distance, Run 1 Best Overall Path,Run 2 Best Overall Distance, Run 2 Best Overall Path,Run 3 Best Overall Distance, Run 3 Best Overall Path,Run 4 Best Overall Distance, Run 4 Best Overall Path,Run 5 Best Overall Distance, Run 5 Best Overall Path
,85.12624206061739,11 9 19 10 20 21 16 18 3 2 17 4 1 22 8 14 12 13 15 7 6 5 11 ,98.28603744333603,5 6 15 16 1 8 22 18 4 21 10 20 19 14 13 3 2 17 12 7 9 11 5 ,93.07518402131844,13 16 1 8 4 22 3 2 17 18 14 11 9 7 19 21 20 12 10 6 5 15 13 ,99.378144561806,6 14 7 11 9 10 12 19 13 20 21 22 18 3 17 2 4 8 1 16 15 5 6 ,100.63358369602307,21 8 15 14 5 11 10 20 13 22 18 4 17 3 2 1 16 12 7 6 9 19 21 

Generation,Run 1 Best Fitness,Run 1 Average Fitness,Run 2 Best Fitness,Run 2 Average Fitness,Run 3 Best Fitness,Run 3 Average Fitness,Run 4 Best Fitness,Run 4 Average Fitness,Run 5 Best Fitness,Run 5 Average Fitness
0,132.1300470275356,177.14705471689632,132.1300470275356,179.85821442093072,132.1300470275356,177.98297101689377,125.05530393122434,171.69192930804024,132.1300470275356,178.48828325692924,
1,132.1300470275356,177.62197505763743,123.72937532511341,175.43229740872175,132.1300470275356,176.37333872223022,125.05530393122434,174.8967431246102,132.1300470275356,178.22040085906434,
2,132.1300470275356,176.2679314552909,123.72937532511341,175.18966855849922,132.1300470275356,172.07911249264393,125.05530393122434,175.32900588367664,132.1300470275356,175.4174125718029,
3,132.1300470275356,172.84800741269268,123.72937532511341,171.4179455056933,121.04964791984744,170.29247418549943,122.69632562147935,172.14416542849602,132.1300470275356,176.6779458119738,
4,132.1300470275356,170.69593619888187,123.72937532511341,173.0078144473797,121.04964791984744,171.02297069287332,122.69632562147935,171.77444953250168,124.17707315422268,177.66653682673783,
5,132.1300470275356,169.8958530217545,123.72937532511341,170.60158214632887,107.54020903123613,171.91957114418315,122.69632562147935,177.5496656142708,124.17707315422268,170.43084029037863,
6,132.1300470275356,164.7772604387833,123.72937532511341,170.8056959985129,107.54020903123613,168.82563176338104,122.69632562147935,174.07493025274565,124.17707315422268,171.76212568217844,
7,129.97650005460687,162.29777419311387,119.76687864407239,171.06744909385554,107.54020903123613,170.724474946989,122.69632562147935,174.19345725386785,124.17707315422268,169.12463619475065,
8,129.97650005460687,167.91896756823968,119.76687864407239,172.7642135506772,107.54020903123613,170.9858779098992,122.69632562147935,176.94730733402423,124.17707315422268,171.82322496129987,
9,128.56072272018542,169.33132984622358,119.76687864407239,169.95272772064044,107.54020903123613,170.73826931758703,122.69632562147935,174.44384624328723,124.17707315422268,173.27286227617168,
10,128.56072272018542,168.98207292465096,119.76687864407239,174.7638983350887,107.54020903123613,166.5627595588126,122.69632562147935,173.00580758199442,124.17707315422268,171.95664581981217,
11,128.56072272018542,168.9764626827781,119.76687864407239,169.76434597546995,107.54020903123613,169.92090621091285,122.69632562147935,172.7354166201681,124.17707315422268,172.5484230887489,
