Shortest distance over all runs
76.62251649983317

K-value,Crossover Rate,Mutation Rate,Elite Size,Population Size,Generations
3,0.9,0,5,75,1000

Run 1 Seed,Run 2 Seed,Run 3 Seed,Run 4 Seed,Run 5 Seed
run1,run2,run3,run4,run5

,Run 1 Best Overall Distance, Run 1 Best Overall Path,Run 2 Best Overall Distance, Run 2 Best Overall Path,Run 3 Best Overall Distance, Run 3 Best Overall Path,Run 4 Best Overall Distance, Run 4 Best Overall Path,Run 5 Best Overall Distance, Run 5 Best Overall Path
,87.2722682899812,6 10 19 21 20 7 15 18 4 8 1 16 3 2 17 22 14 13 12 5 11 9 6 ,99.2509065581775,9 5 15 4 18 8 1 12 20 21 7 6 14 13 22 17 2 3 16 19 10 11 9 ,76.62251649983317,21 20 16 1 22 18 4 17 2 3 8 15 14 13 12 7 6 5 11 9 10 19 21 ,98.4233481380978,6 15 18 22 17 2 3 21 20 19 7 4 8 1 16 12 13 14 5 11 9 10 6 ,102.02420344581951,17 4 18 22 8 16 7 6 15 13 14 12 1 2 3 21 20 19 5 11 9 10 17 

Generation,Run 1 Best Fitness,Run 1 Average Fitness,Run 2 Best Fitness,Run 2 Average Fitness,Run 3 Best Fitness,Run 3 Average Fitness,Run 4 Best Fitness,Run 4 Average Fitness,Run 5 Best Fitness,Run 5 Average Fitness
0,132.1300470275356,178.01291001716615,132.1300470275356,176.4108742048761,132.1300470275356,177.36446501048832,132.1300470275356,177.0856385282326,132.1300470275356,175.05118565400807,
1,128.92224549151067,176.0992818081346,132.1300470275356,174.44908177121553,132.1300470275356,174.5796365606017,132.1300470275356,178.06741765731957,132.1300470275356,172.02488174259454,
2,128.92224549151067,174.0646534822385,132.1300470275356,177.46819488061152,132.1300470275356,173.62862114814916,132.1300470275356,181.97975613152283,132.1300470275356,174.54764396766694,
3,128.92224549151067,174.78019643127203,132.1300470275356,175.54097372991293,132.1300470275356,173.14088465241434,132.1300470275356,177.96075970679883,132.1300470275356,176.16795360217537,
4,128.92224549151067,178.5354314114718,132.1300470275356,174.43919486487957,132.1300470275356,176.52453605456887,132.1300470275356,175.70447903095342,132.1300470275356,175.81998201824774,
5,128.92224549151067,177.63813276034037,132.1300470275356,176.01644256328922,132.1300470275356,177.98716151645488,132.1300470275356,175.06706950602637,132.1300470275356,176.35240124585107,
6,128.92224549151067,174.66356638175685,126.63405977668867,174.83571378987565,132.1300470275356,174.44095480512638,132.1300470275356,173.45094742313358,132.1300470275356,174.77301364624608,
7,128.92224549151067,175.23568872462982,126.63405977668867,173.98294010243995,132.1300470275356,175.9710580246411,132.1300470275356,170.83648491654333,132.1300470275356,179.04304268506968,
8,128.92224549151067,173.33264552582915,122.69632562147935,171.13088998784866,132.1300470275356,174.38577589955327,130.55808072275536,170.3251535965652,132.1300470275356,176.26912875915158,
9,119.51706740148117,176.16964923832816,122.69632562147935,170.34843498683196,132.1300470275356,174.92178548857578,125.0646260768842,171.80253796595372,130.6965758963855,175.7031801906468,
10,119.51706740148117,173.8677463915487,122.69632562147935,179.1371120631678,130.04744896958286,173.02605150225116,125.0646260768842,173.01700211780857,130.6965758963855,177.7159765488669,
11,119.51706740148117,172.47399270127352,122.69632562147935,175.7218855114855,130.04744896958286,173.29625191168586,125.0646260768842,166.91685570149582,130.6965758963855,177.80136178979603,
12,119.51706740148117,171.10905329174034,122.69632562147935,175.7800841170666,130.04744896958286,173.9062223328012,125.0646260768842,168.82854276798614,130.6965758963855,174.65173209456808,
13,119.51706740148117,169.7396733370717,122.69632562147935,169.34820135252681,130.04744896958286,171.17351878078946,125.0646260768842,168.4462131875471,130.6965758963855,179.16675078435037,
14,119.51706740148117,174.02217653321912,122.69632562147935,166.9257805168205,130.04744896958286,175.36032279286212,125.0646260768842,170.9546208205,130.6965758963855,177.67369872630982,
15,119.51706740148117,172.7474719827595,122.69632562147935,169.8472241477964,122.81921456137606,171.92713566895034,125.0646260768842,170.38700058695338,130.6965758963855,177.51677880433638,
16,119.51706740148117,169.94295984766103,122.69632562147935,169.54085445489352,116.00121304860669,168.90666884866815,125.0646260768842,171.14495125185243,130.6965758963855,180.70903692578926,
17,119.21799295981948,167.99160722779337,122.69632562147935,166.66330265833636,116.00121304860669,171.60402061493875,125.0646260768842,169.57929893466812,130.6965758963855,177.36281538412956,
18,116.26562055870852,166.75382484051414,122.69632562147935,169.44141867279168,116.00121304860669,171.63033898789467,125.0646260768842,171.98376466071002,130.6965758963855,175.9806463670726,
19,115.37631033262015,162.0793510401624,122.69632562147935,170.20637509852978,116.00121304860669,167.8660747699944,125.0646260768842,171.42800917102628,127.80376892346534,175.26977470709318,
20,115.37631033262015,163.2110696272659,122.69632562147935,175.85057666679324,115.32278924391701,163.68135561921912,125.0646260768842,170.94191603020684,127.80376892346534,172.1319613794278,
21,115.37631033262015,165.01017058796586,122.69632562147935,177.00150325864507,115.32278924391701,165.95304802241043,125.0646260768842,168.49921886001962,126.47022117988523,174.2700933662468,
